,0
1499,2007-10-28
1500,2007-11-04
1501,2007-11-11
1502,2007-11-18
1503,2007-11-25
1504,2007-12-02
1505,2007-12-09
1506,2007-12-16
1507,2007-12-23
1508,2007-12-30
1509,2008-01-06
1510,2008-01-13
1511,2008-01-20
1512,2008-01-27
1513,2008-02-03
1514,2008-02-10
1515,2008-02-17
1516,2008-02-24
1517,2008-03-02
1518,2008-03-09
1519,2008-03-16
1520,2008-03-23
1521,2008-03-30
1522,2008-04-06
1523,2008-04-13
1524,2008-04-20
1525,2008-04-27
1526,2008-05-04
1527,2008-05-11
1528,2008-05-18
1529,2008-05-25
1530,2008-06-01
1531,2008-06-08
1532,2008-06-15
1533,2008-06-22
1534,2008-06-29
1535,2008-07-06
1536,2008-07-13
1537,2008-07-20
1538,2008-07-27
1539,2008-08-03
1540,2008-08-10
1541,2008-08-17
1542,2008-08-24
1543,2008-08-31
1544,2008-09-07
1545,2008-09-14
1546,2008-09-21
1547,2008-09-28
1548,2008-10-05
1549,2008-10-12
1550,2008-10-19
1551,2008-10-26
1552,2008-11-02
1553,2008-11-09
1554,2008-11-16
1555,2008-11-23
1556,2008-11-30
1557,2008-12-07
1558,2008-12-14
1559,2008-12-21
1560,2008-12-28
1561,2009-01-04
1562,2009-01-11
1563,2009-01-18
1564,2009-01-25
1565,2009-02-01
1566,2009-02-08
1567,2009-02-15
1568,2009-02-22
1569,2009-03-01
1570,2009-03-08
1571,2009-03-15
1572,2009-03-22
1573,2009-03-29
1574,2009-04-05
1575,2009-04-12
1576,2009-04-19
1577,2009-04-26
1578,2009-05-03
1579,2009-05-10
1580,2009-05-17
1581,2009-05-24
1582,2009-05-31
1583,2009-06-07
1584,2009-06-14
1585,2009-06-21
1586,2009-06-28
1587,2009-07-05
1588,2009-07-12
1589,2009-07-19
1590,2009-07-26
1591,2009-08-02
1592,2009-08-09
1593,2009-08-16
1594,2009-08-23
1595,2009-08-30
1596,2009-09-06
1597,2009-09-13
1598,2009-09-20
1599,2009-09-27
1600,2009-10-04
1601,2009-10-11
1602,2009-10-18
1603,2009-10-25
1604,2009-11-01
1605,2009-11-08
1606,2009-11-15
1607,2009-11-22
1608,2009-11-29
1609,2009-12-06
1610,2009-12-13
1611,2009-12-20
1612,2009-12-27
1613,2010-01-03
1614,2010-01-10
1615,2010-01-17
1616,2010-01-24
1617,2010-01-31
1618,2010-02-07
1619,2010-02-14
1620,2010-02-21
1621,2010-02-28
1622,2010-03-07
1623,2010-03-14
1624,2010-03-21
1625,2010-03-28
1626,2010-04-04
1627,2010-04-11
1628,2010-04-18
1629,2010-04-25
1630,2010-05-02
1631,2010-05-09
1632,2010-05-16
1633,2010-05-23
1634,2010-05-30
1635,2010-06-06
1636,2010-06-13
1637,2010-06-20
1638,2010-06-27
1639,2010-07-04
1640,2010-07-11
1641,2010-07-18
1642,2010-07-25
1643,2010-08-01
1644,2010-08-08
1645,2010-08-15
1646,2010-08-22
1647,2010-08-29
1648,2010-09-05
1649,2010-09-12
1650,2010-09-19
1651,2010-09-26
1652,2010-10-03
1653,2010-10-10
1654,2010-10-17
1655,2010-10-24
1656,2010-10-31
1657,2010-11-07
1658,2010-11-14
1659,2010-11-21
1660,2010-11-28
1661,2010-12-05
1662,2010-12-12
1663,2010-12-19
1664,2010-12-26
1665,2011-01-02
1666,2011-01-09
1667,2011-01-16
1668,2011-01-23
1669,2011-01-30
1670,2011-02-06
1671,2011-02-13
1672,2011-02-20
1673,2011-02-27
1674,2011-03-06
1675,2011-03-13
1676,2011-03-20
1677,2011-03-27
1678,2011-04-03
1679,2011-04-10
1680,2011-04-17
1681,2011-04-24
1682,2011-05-01
1683,2011-05-08
1684,2011-05-15
1685,2011-05-22
1686,2011-05-29
1687,2011-06-05
1688,2011-06-12
1689,2011-06-19
1690,2011-06-26
1691,2011-07-03
1692,2011-07-10
1693,2011-07-17
1694,2011-07-24
1695,2011-07-31
1696,2011-08-07
1697,2011-08-14
1698,2011-08-21
1699,2011-08-28
1700,2011-09-04
1701,2011-09-11
1702,2011-09-18
1703,2011-09-25
1704,2011-10-02
1705,2011-10-09
1706,2011-10-16
1707,2011-10-23
1708,2011-10-30
1709,2011-11-06
1710,2011-11-13
1711,2011-11-20
1712,2011-11-27
1713,2011-12-04
1714,2011-12-11
1715,2011-12-18
1716,2011-12-25
1717,2012-01-01
1718,2012-01-08
1719,2012-01-15
1720,2012-01-22
1721,2012-01-29
1722,2012-02-05
1723,2012-02-12
1724,2012-02-19
1725,2012-02-26
1726,2012-03-04
1727,2012-03-11
1728,2012-03-18
1729,2012-03-25
1730,2012-04-01
1731,2012-04-08
1732,2012-04-15
1733,2012-04-22
1734,2012-04-29
1735,2012-05-06
1736,2012-05-13
1737,2012-05-20
1738,2012-05-27
1739,2012-06-03
1740,2012-06-10
1741,2012-06-17
1742,2012-06-24
1743,2012-07-01
1744,2012-07-08
1745,2012-07-15
1746,2012-07-22
1747,2012-07-29
1748,2012-08-05
1749,2012-08-12
1750,2012-08-19
1751,2012-08-26
1752,2012-09-02
1753,2012-09-09
1754,2012-09-16
1755,2012-09-23
1756,2012-09-30
1757,2012-10-07
1758,2012-10-14
1759,2012-10-21
1760,2012-10-28
1761,2012-11-04
1762,2012-11-11
1763,2012-11-18
1764,2012-11-25
1765,2012-12-02
1766,2012-12-09
1767,2012-12-16
1768,2012-12-23
1769,2012-12-30
1770,2013-01-06
1771,2013-01-13
1772,2013-01-20
1773,2013-01-27
1774,2013-02-03
1775,2013-02-10
1776,2013-02-17
1777,2013-02-24
1778,2013-03-03
1779,2013-03-10
1780,2013-03-17
1781,2013-03-24
1782,2013-03-31
1783,2013-04-07
1784,2013-04-14
1785,2013-04-21
1786,2013-04-28
1787,2013-05-05
1788,2013-05-12
1789,2013-05-19
1790,2013-05-26
1791,2013-06-02
1792,2013-06-09
1793,2013-06-16
1794,2013-06-23
1795,2013-06-30
1796,2013-07-07
1797,2013-07-14
1798,2013-07-21
1799,2013-07-28
1800,2013-08-04
1801,2013-08-11
1802,2013-08-18
1803,2013-08-25
1804,2013-09-01
1805,2013-09-08
1806,2013-09-15
1807,2013-09-22
1808,2013-09-29
1809,2013-10-06
1810,2013-10-13
1811,2013-10-20
1812,2013-10-27
1813,2013-11-03
1814,2013-11-10
1815,2013-11-17
1816,2013-11-24
1817,2013-12-01
1818,2013-12-08
1819,2013-12-15
1820,2013-12-22
1821,2013-12-29
